Family;Name;Title;Priority;Impact;Description;SupplementarGuidance;Related
AUDIT AND ACCOUNTABILITY;AU-6 (1);PROCESS INTEGRATION;P1;MODERATE,HIGH;The organization employs automated mechanisms to integrate audit review, analysis, and reporting processes to support organizational processes for investigation and response to suspicious activities.;Organizational processes benefiting from integrated audit review, analysis, and reporting include, for example, incident response, continuous monitoring, contingency planning, and Inspector General audits.;AU-12,PM-7
AUDIT AND ACCOUNTABILITY;AU-6 (2);AUTOMATED SECURITY ALERTS;P1;MODERATE,HIGH;[Withdrawn: Incorporated into SI-4].;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-6 (3);CORRELATE AUDIT REPOSITORIES;P1;MODERATE,HIGH;The organization analyzes and correlates audit records across different repositories to gain organization-wide situational awareness.;Organization-wide situational awareness includes awareness across all three tiers of risk management (i.e., organizational, mission/business process, and information system) and supports cross-organization awareness.;AU-12,IR-4
AUDIT AND ACCOUNTABILITY;AU-6 (4);CENTRAL REVIEW AND ANALYSIS;P1;MODERATE,HIGH;The information system provides the capability to centrally review and analyze audit records from multiple components within the system.;Automated mechanisms for centralized reviews and analyses include, for example, Security Information Management products.;AU-2,AU-12
AUDIT AND ACCOUNTABILITY;AU-6 (5);INTEGRATION / SCANNING AND MONITORING CAPABILITIES;P1;HIGH;The organization integrates analysis of audit records with analysis of [Selection (one or more): vulnerability scanning information, performance data, information system monitoring information, [Assignment: organization-defined data/information collected from other sources]] to further enhance the ability to identify inappropriate or unusual activity.;This control enhancement does not require vulnerability scanning, the generation of performance data, or information system monitoring. Rather, the enhancement requires that the analysis of information being otherwise produced in these areas is integrated with the analysis of audit information. Security Event and Information Management System tools can facilitate audit record aggregation/consolidation from multiple information system components as well as audit record correlation and analysis. The use of standardized audit record analysis scripts developed by organizations (with localized script adjustments, as necessary) provides more cost-effective approaches for analyzing audit record information collected. The correlation of audit record information with vulnerability scanning information is important in determining the veracity of vulnerability scans and correlating attack detection events with scanning results. Correlation with performance data can help uncover denial of service attacks or cyber attacks resulting in unauthorized use of resources. Correlation with system monitoring information can assist in uncovering attacks and in better relating audit information to operational situations.;AU-12,IR-4,RA-5
AUDIT AND ACCOUNTABILITY;AU-6 (6);CORRELATION WITH PHYSICAL MONITORING;P1;HIGH;The organization correlates information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual, or malevolent activity.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-6 (7);PERMITTED ACTIONS;P1;HIGH;The organization specifies the permitted actions for each [Selection (one or more): information system process, role, user] associated with the review, analysis, and reporting of audit information.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-6 (8);FULL TEXT ANALYSIS OF PRIVILEGED COMMANDS;P1;HIGH;The organization performs a full text analysis of audited privileged commands in a physically distinct component or subsystem of the information system, or other information system that is dedicated to that analysis.;This control enhancement requires a distinct environment for the dedicated analysis of audit information related to privileged users without compromising such information on the information system where the users have elevated privileges including the capability to execute privileged commands. Full text analysis refers to analysis that considers the full text of privileged commands (i.e., commands and all parameters) as opposed to analysis that considers only the name of the command. Full text analysis includes, for example, the use of pattern matching and heuristics.;AU-3,AU-9,AU-11,AU-12
AUDIT AND ACCOUNTABILITY;AU-6 (9);CORRELATION WITH INFORMATION FROM NONTECHNICAL SOURCES;P1;HIGH;The organization correlates information from nontechnical sources with audit information to enhance organization-wide situational awareness.;Nontechnical sources include, for example, human resources records documenting organizational policy violations (e.g., sexual harassment incidents, improper use of organizational information assets). Such information can lead organizations to a more directed analytical effort to detect potential malicious insider activity. Due to the sensitive nature of the information available from nontechnical sources, organizations limit access to such information to minimize the potential for the inadvertent release of privacy-related information to individuals that do not have a need to know. Thus, correlation of information from nontechnical sources with audit information generally occurs only when individuals are suspected of being involved in a security incident. Organizations obtain legal advice prior to initiating such actions.;AT-2
AUDIT AND ACCOUNTABILITY;AU-6 (10);AUDIT LEVEL ADJUSTMENT;P1;HIGH;The organization adjusts the level of audit review, analysis, and reporting within the information system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-7;AUDIT REDUCTION AND REPORT GENERATION;P2;MODERATE,HIGH;The information system provides an audit reduction and report generation capability that: Supports on-demand audit review, analysis, and reporting requirements and after-the-fact investigations of security incidents, and Does not alter the original content or time ordering of audit records.;Audit reduction is a process that manipulates collected audit information and organizes such information in a summary format that is more meaningful to analysts. Audit reduction and report generation capabilities do not always emanate from the same information system or from the same organizational entities conducting auditing activities. Audit reduction capability can include, for example, modern data mining techniques with advanced data filters to identify anomalous behavior in audit records. The report generation capability provided by the information system can generate customizable reports. Time ordering of audit records can be a significant issue if the granularity of the timestamp in the record is insufficient.;AU-6
AUDIT AND ACCOUNTABILITY;AU-7 (1);AUTOMATIC PROCESSING;P2;MODERATE,HIGH;The information system provides the capability to process audit records for events of interest based on [Assignment: organization-defined audit fields within audit records].;Events of interest can be identified by the content of specific audit record fields including, for example, identities of individuals, event types, event locations, event times, event dates, system resources involved, IP addresses involved, or information objects accessed. Organizations may define audit event criteria to any degree of granularity required, for example, locations selectable by general networking location (e.g., by network or subnetwork) or selectable by specific information system component.;AU-2,AU-12
AUDIT AND ACCOUNTABILITY;AU-7 (2);AUTOMATIC SORT AND SEARCH;P2;MODERATE,HIGH;The information system provides the capability to sort and search audit records for events of interest based on the content of [Assignment: organization-defined audit fields within audit records].;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-8;TIME STAMPS;P1;LOW,MODERATE,HIGH;The information system: Uses internal system clocks to generate time stamps for audit records, and Records time stamps for audit records that can be mapped to Coordinated Universal Time (UTC) or Greenwich Mean Time (GMT) and meets [Assignment: organization-defined granularity of time measurement].;Time stamps generated by the information system include date and time. Time is commonly expressed in Coordinated Universal Time (UTC), a modern continuation of Greenwich Mean Time (GMT), or local time with an offset from UTC. Granularity of time measurements refers to the degree of synchronization between information system clocks and reference clocks, for example, clocks synchronizing within hundreds of milliseconds or within tens of milliseconds. Organizations may define different time granularities for different system components. Time service can also be critical to other security capabilities such as access control and identification and authentication, depending on the nature of the mechanisms used to support those capabilities.;AU-3,AU-12
AUDIT AND ACCOUNTABILITY;AU-8 (1);SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE;P1;MODERATE,HIGH;The information system: Compares the internal information system clocks [Assignment: organization-defined frequency] with [Assignment: organization-defined authoritative time source], and Synchronizes the internal system clocks to the authoritative time source when the time difference is greater than [Assignment: organization-defined time period].;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-8 (2);SECONDARY AUTHORITATIVE TIME SOURCE;P1;MODERATE,HIGH;The information system identifies a secondary authoritative time source that is located in a different geographic region than the primary authoritative time source.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-9;PROTECTION OF AUDIT INFORMATION;P1;LOW,MODERATE,HIGH;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit information includes all information (e.g., audit records, audit settings, and audit reports) needed to successfully audit information system activity. This control focuses on technical protection of audit information. Physical protection of audit information is addressed by media protection controls and physical and environmental protection controls.;AC-3,AC-6,MP-2,MP-4,PE-2,PE-3,PE-6
AUDIT AND ACCOUNTABILITY;AU-9 (1);HARDWARE WRITE-ONCE MEDIA;P1;LOW,MODERATE,HIGH;The information system writes audit trails to hardware-enforced, write-once media.;This control enhancement applies to the initial generation of audit trails (i.e., the collection of audit records that represents the audit information to be used for detection, analysis, and reporting purposes) and to the backup of those audit trails. The enhancement does not apply to the initial generation of audit records prior to being written to an audit trail. Write-once, read-many (WORM) media includes, for example, Compact Disk-Recordable (CD-R) and Digital Video Disk-Recordable (DVD-R). In contrast, the use of switchable write-protection media such as on tape cartridges or Universal Serial Bus (USB) drives results in write-protected, but not write-once, media.;AU-4,AU-5
AUDIT AND ACCOUNTABILITY;AU-9 (2);AUDIT BACKUP ON SEPARATE PHYSICAL SYSTEMS / COMPONENTS;P1;HIGH;The information system backs up audit records [Assignment: organization-defined frequency] onto a physically different system or system component than the system or component being audited.;This control enhancement helps to ensure that a compromise of the information system being audited does not also result in a compromise of the audit records.;AU-4,AU-5,AU-11
AUDIT AND ACCOUNTABILITY;AU-9 (3);CRYPTOGRAPHIC PROTECTION;P1;HIGH;The information system implements cryptographic mechanisms to protect the integrity of audit information and audit tools.;Cryptographic mechanisms used for protecting the integrity of audit information include, for example, signed hash functions using asymmetric cryptography enabling distribution of the public key to verify the hash information while maintaining the confidentiality of the secret key used to generate the hash.;AU-10,SC-12,SC-13
AUDIT AND ACCOUNTABILITY;AU-9 (4);ACCESS BY SUBSET OF PRIVILEGED USERS;P1;MODERATE,HIGH;The organization authorizes access to management of audit functionality to only [Assignment: organization-defined subset of privileged users].;Individuals with privileged access to an information system and who are also the subject of an audit by that system, may affect the reliability of audit information by inhibiting audit activities or modifying audit records. This control enhancement requires that privileged access be further defined between audit-related privileges and other privileges, thus limiting the users with audit-related privileges.;AC-5
AUDIT AND ACCOUNTABILITY;AU-9 (5);DUAL AUTHORIZATION;P1;MODERATE,HIGH;The organization enforces dual authorization for [Selection (one or more): movement, deletion] of [Assignment: organization-defined audit information].;Organizations may choose different selection options for different types of audit information. Dual authorization mechanisms require the approval of two authorized individuals in order to execute. Dual authorization may also be known as two-person control.;AC-3,MP-2
AUDIT AND ACCOUNTABILITY;AU-9 (6);READ ONLY ACCESS;P1;MODERATE,HIGH;The organization authorizes read-only access to audit information to [Assignment: organization-defined subset of privileged users].;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-10;NON-REPUDIATION;P2;HIGH;The information system protects against an individual (or process acting on behalf of an individual) falsely denying having performed [Assignment: organization-defined actions to be covered by non-repudiation].;Types of individual actions covered by non-repudiation include, for example, creating information, sending and receiving messages, approving information (e.g., indicating concurrence or signing a contract). Non-repudiation protects individuals against later claims by: (i) authors of not having authored particular documents, (ii) senders of not having transmitted messages, (iii) receivers of not having received messages, or (iv) signatories of not having signed documents. Non-repudiation services can be used to determine if information originated from a particular individual, or if an individual took specific actions (e.g., sending an email, signing a contract, approving a procurement request) or received specific information. Organizations obtain non-repudiation services by employing various techniques or mechanisms (e.g., digital signatures, digital message receipts).;SC-12,SC-8,SC-13,SC-16,SC-17,SC-23
AUDIT AND ACCOUNTABILITY;AU-10 (1);ASSOCIATION OF IDENTITIES;P2;HIGH;The information system: Binds the identity of the information producer with the information to [Assignment: organization-defined strength of binding], and Provides the means for authorized individuals to determine the identity of the producer of the information.;This control enhancement supports audit requirements that provide organizational personnel with the means to identify who produced specific information in the event of an information transfer. Organizations determine and approve the strength of the binding between the information producer and the information based on the security category of the information and relevant risk factors.;AC-4,AC-16
AUDIT AND ACCOUNTABILITY;AU-10 (2);VALIDATE BINDING OF INFORMATION PRODUCER IDENTITY;P2;HIGH;The information system: Validates the binding of the information producer identity to the information at [Assignment: organization-defined frequency], and Performs [Assignment: organization-defined actions] in the event of a validation error.;This control enhancement prevents the modification of information between production and review. The validation of bindings can be achieved, for example, by the use of cryptographic checksums. Organizations determine if validations are in response to user requests or generated automatically.;AC-3,AC-4,AC-16
AUDIT AND ACCOUNTABILITY;AU-10 (3);CHAIN OF CUSTODY;P2;HIGH;The information system maintains reviewer/releaser identity and credentials within the established chain of custody for all information reviewed or released.;Chain of custody is a process that tracks the movement of evidence through its collection, safeguarding, and analysis life cycle by documenting each person who handled the evidence, the date and time it was collected or transferred, and the purpose for the transfer. If the reviewer is a human or if the review function is automated but separate from the release/transfer function, the information system associates the identity of the reviewer of the information to be released with the information and the information label. In the case of human reviews, this control enhancement provides organizational officials the means to identify who reviewed and released the information. In the case of automated reviews, this control enhancement ensures that only approved review functions are employed.;AC-4,AC-16
AUDIT AND ACCOUNTABILITY;AU-10 (4);VALIDATE BINDING OF INFORMATION REVIEWER IDENTITY;P2;HIGH;The information system: Validates the binding of the information reviewer identity to the information at the transfer or release points prior to release/transfer between [Assignment: organization-defined security domains], and Performs [Assignment: organization-defined actions] in the event of a validation error.;This control enhancement prevents the modification of information between review and transfer/release. The validation of bindings can be achieved, for example, by the use of cryptographic checksums. Organizations determine validations are in response to user requests or generated automatically.;AC-4,AC-16
AUDIT AND ACCOUNTABILITY;AU-10 (5);DIGITAL SIGNATURES;P2;HIGH;[Withdrawn: Incorporated into SI-7].;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-11;AUDIT RECORD RETENTION;P3;LOW,MODERATE,HIGH;The organization retains audit records for [Assignment: organization-defined time period consistent with records retention policy] to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational information retention requirements.;Organizations retain audit records until it is determined that they are no longer needed for administrative, legal, audit, or other operational purposes. This includes, for example, retention and availability of audit records relative to Freedom of Information Act (FOIA) requests, subpoenas, and law enforcement actions. Organizations develop standard categories of audit records relative to such types of actions and standard response processes for each type of action. The National Archives and Records Administration (NARA) General Records Schedules provide federal policy on record retention.;AU-4,AU-5,AU-9,MP-6
AUDIT AND ACCOUNTABILITY;AU-11 (1);LONG-TERM RETRIEVAL CAPABILITY;P3;LOW,MODERATE,HIGH;The organization employs [Assignment: organization-defined measures] to ensure that long-term audit records generated by the information system can be retrieved.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-12;AUDIT GENERATION;P1;LOW,MODERATE,HIGH;The information system: Provides audit record generation capability for the auditable events defined in AU-2 a. at [Assignment: organization-defined information system components], Allows [Assignment: organization-defined personnel or roles] to select which auditable events are to be audited by specific components of the information system, and Generates audit records for the events defined in AU-2 d. with the content defined in AU-3.;Audit records can be generated from many different information system components. The list of audited events is the set of events for which audits are to be generated. These events are typically a subset of all events for which the information system is capable of generating audit records.;AC-3,AU-2,AU-3,AU-6,AU-7
AUDIT AND ACCOUNTABILITY;AU-12 (1);SYSTEM-WIDE / TIME-CORRELATED AUDIT TRAIL;P1;HIGH;The information system compiles audit records from [Assignment: organization-defined information system components] into a system-wide (logical or physical) audit trail that is time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].;Audit trails are time-correlated if the time stamps in the individual audit records can be reliably related to the time stamps in other audit records to achieve a time ordering of the records within organizational tolerances.;AU-8,AU-12
AUDIT AND ACCOUNTABILITY;AU-12 (2);STANDARDIZED FORMATS;P1;HIGH;The information system produces a system-wide (logical or physical) audit trail composed of audit records in a standardized format.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-12 (3);CHANGES BY AUTHORIZED INDIVIDUALS;P1;HIGH;The information system provides the capability for [Assignment: organization-defined individuals or roles] to change the auditing to be performed on [Assignment: organization-defined information system components] based on [Assignment: organization-defined selectable event criteria] within [Assignment: organization-defined time thresholds].;This control enhancement enables organizations to extend or limit auditing as necessary to meet organizational requirements. Auditing that is limited to conserve information system resources may be extended to address certain threat situations. In addition, auditing may be limited to a specific set of events to facilitate audit reduction, analysis, and reporting. Organizations can establish time thresholds in which audit actions are changed, for example, near real-time, within minutes, or within hours.;AU-7
AUDIT AND ACCOUNTABILITY;AU-13;MONITORING FOR INFORMATION DISCLOSURE;P0;HIGH;The organization monitors [Assignment: organization-defined open source information and/or information sites] [Assignment: organization-defined frequency] for evidence of unauthorized disclosure of organizational information.;Open source information includes, for example, social networking sites.;PE-3,SC-7
AUDIT AND ACCOUNTABILITY;AU-13 (1);USE OF AUTOMATED TOOLS;P0;HIGH;The organization employs automated mechanisms to determine if organizational information has been disclosed in an unauthorized manner.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-13 (2);REVIEW OF MONITORED SITES;P0;HIGH;The organization reviews the open source information sites being monitored [Assignment: organization-defined frequency].;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-14;SESSION AUDIT;P0;HIGH;The information system provides the capability for authorized users to select a user session to capture/record or view/hear.;Session audits include, for example, monitoring keystrokes, tracking websites visited, and recording information and/or file transfers. Session auditing activities are developed, integrated, and used in consultation with legal counsel in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, or standards.;AC-3,AU-4,AU-5,AU-9,AU-11
AUDIT AND ACCOUNTABILITY;AU-14 (1);SYSTEM START-UP;P0;HIGH;The information system initiates session audits at system start-up.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-14 (2);CAPTURE/RECORD AND LOG CONTENT;P0;HIGH;The information system provides the capability for authorized users to capture/record and log content related to a user session.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-14 (3);REMOTE VIEWING / LISTENING;P0;HIGH;The information system provides the capability for authorized users to remotely view/hear all content related to an established user session in real time.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-15;ALTERNATE AUDIT CAPABILITY;P0;HIGH;The organization provides an alternate audit capability in the event of a failure in primary audit capability that provides [Assignment: organization-defined alternate audit functionality].;Since an alternate audit capability may be a short-term protection employed until the failure in the primary auditing capability is corrected, organizations may determine that the alternate audit capability need only provide a subset of the primary audit functionality that is impacted by the failure.;AU-5
AUDIT AND ACCOUNTABILITY;AU-16;CROSS-ORGANIZATIONAL AUDITING;P0;HIGH;The organization employs [Assignment: organization-defined methods] for coordinating [Assignment: organization-defined audit information] among external organizations when audit information is transmitted across organizational boundaries.;When organizations use information systems and/or services of external organizations, the auditing capability necessitates a coordinated approach across organizations. For example, maintaining the identity of individuals that requested particular services across organizational boundaries may often be very difficult, and doing so may prove to have significant performance ramifications. Therefore, it is often the case that cross-organizational auditing (e.g., the type of auditing capability provided by service-oriented architectures) simply captures the identity of individuals issuing requests at the initial information system, and subsequent systems record that the requests emanated from authorized individuals.;AU-6
AUDIT AND ACCOUNTABILITY;AU-16 (1);IDENTITY PRESERVATION;P0;HIGH;The organization requires that the identity of individuals be preserved in cross-organizational audit trails.;NaN;NaN
AUDIT AND ACCOUNTABILITY;AU-16 (2);SHARING OF AUDIT INFORMATION;P0;HIGH;The organization provides cross-organizational audit information to [Assignment: organization-defined organizations] based on [Assignment: organization-defined cross-organizational sharing agreements].;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-1;SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES;P1;LOW,MODERATE,HIGH;The organization: Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]: A security assessment and authorization policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance, and Procedures to facilitate the implementation of the security assessment and authorization policy and associated security assessment and authorization controls, and Reviews and updates the current: Security assessment and authorization policy [Assignment: organization-defined frequency], and Security assessment and authorization procedures [Assignment: organization-defined frequency].;This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the CA family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.;PM-9
SECURITY ASSESSMENT AND AUTHORIZATION;CA-2;SECURITY ASSESSMENTS;P2;LOW,MODERATE,HIGH;The organization: Develops a security assessment plan that describes the scope of the assessment including: Security controls and control enhancements under assessment, Assessment procedures to be used to determine security control effectiveness, and Assessment environment, assessment team, and assessment roles and responsibilities, Assesses the security controls in the information system and its environment of operation [Assignment: organization-defined frequency] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security requirements, Produces a security assessment report that documents the results of the assessment, and Provides the results of the security control assessment to [Assignment: organization-defined individuals or roles].;Organizations assess security controls in organizational information systems and the environments in which those systems operate as part of: (i) initial and ongoing security authorizations, (ii) FISMA annual assessments, (iii) continuous monitoring, and (iv) system development life cycle activities. Security assessments: (i) ensure that information security is built into organizational information systems, (ii) identify weaknesses and deficiencies early in the development process, (iii) provide essential information needed to make risk-based decisions as part of security authorization processes, and (iv) ensure compliance to vulnerability mitigation procedures. Assessments are conducted on the implemented security controls from Appendix F (main catalog) and Appendix G (Program Management controls) as documented in System Security Plans and Information Security Program Plans. Organizations can use other types of assessment activities such as vulnerability scanning and system monitoring to maintain the security posture of information systems during the entire life cycle. Security assessment reports document assessment results in sufficient detail as deemed necessary by organizations, to determine the accuracy and completeness of the reports and whether the security controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting security requirements. The FISMA requirement for assessing security controls at least annually does not require additional assessment activities to those activities already in place in organizational security authorization processes. Security assessment results are provided to the individuals or roles appropriate for the types of assessments being conducted. For example, assessments conducted in support of security authorization decisions are provided to authorizing officials or authorizing official designated representatives. To satisfy annual assessment requirements, organizations can use assessment results from the following sources: (i) initial or ongoing information system authorizations, (ii) continuous monitoring, or (iii)   system development life cycle activities. Organizations ensure that security assessment results are current, relevant to the determination of security control effectiveness, and obtained with the appropriate level of assessor independence. Existing security control assessment results can be reused to the extent that the results are still valid and can also be supplemented with additional assessments as needed. Subsequent to initial authorizations and in accordance with OMB policy, organizations assess security controls during continuous monitoring. Organizations establish the frequency for ongoing security control assessments in accordance with organizational continuous monitoring strategies. Information Assurance Vulnerability Alerts provide useful examples of vulnerability mitigation procedures. External audits (e.g., audits by external entities such as regulatory agencies) are outside the scope of this control.;CA-5,CA-6,CA-7,PM-9,RA-5,SA-11,SA-12,SI-4
SECURITY ASSESSMENT AND AUTHORIZATION;CA-2 (1);INDEPENDENT ASSESSORS;P2;MODERATE,HIGH;The organization employs assessors or assessment teams with [Assignment: organization-defined level of independence] to conduct security control assessments.;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-2 (2);SPECIALIZED ASSESSMENTS;P2;HIGH;The organization includes as part of security control assessments, [Assignment: organization-defined frequency], [Selection: announced, unannounced], [Selection (one or more): in-depth monitoring, vulnerability scanning, malicious user testing, insider threat assessment, performance/load testing, [Assignment: organization-defined other forms of security assessment]].;Organizations can employ information system monitoring, insider threat assessments, malicious user testing, and other forms of testing (e.g., verification and validation) to improve readiness by exercising organizational capabilities and indicating current performance levels as a means of focusing actions to improve security. Organizations conduct assessment activities in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards. Authorizing officials approve the assessment methods in coordination with the organizational risk executive function. Organizations can incorporate vulnerabilities uncovered during assessments into vulnerability remediation processes.;PE-3,SI-2
SECURITY ASSESSMENT AND AUTHORIZATION;CA-2 (3);EXTERNAL ORGANIZATIONS;P2;HIGH;The organization accepts the results of an assessment of [Assignment: organization-defined information system] performed by [Assignment: organization-defined external organization] when the assessment meets [Assignment: organization-defined requirements].;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-3;SYSTEM INTERCONNECTIONS;P1;LOW,MODERATE,HIGH;The organization: Authorizes connections from the information system to other information systems through the use of Interconnection Security Agreements, Documents, for each interconnection, the interface characteristics, security requirements, and the nature of the information communicated, and Reviews and updates Interconnection Security Agreements [Assignment: organization-defined frequency].;This control applies to dedicated connections between information systems (i.e., system interconnections) and does not apply to transitory, user-controlled connections such as email and website browsing. Organizations carefully consider the risks that may be introduced when information systems are connected to other systems with different security requirements and security controls, both within organizations and external to organizations. Authorizing officials determine the risk associated with information system connections and the appropriate controls employed. If interconnecting systems have the same authorizing official, organizations do not need to develop Interconnection Security Agreements. Instead, organizations can describe the interface characteristics between those interconnecting systems in their respective security plans. If interconnecting systems have different authorizing officials within the same organization, organizations can either develop Interconnection Security Agreements or describe the interface characteristics between systems in the security plans for the respective systems. Organizations may also incorporate Interconnection Security Agreement information into formal contracts, especially for interconnections established between federal agencies and nonfederal (i.e., private sector) organizations. Risk considerations also include information systems sharing the same networks. For certain technologies (e.g., space, unmanned aerial vehicles, and medical devices), there may be specialized connections in place during preoperational testing. Such connections may require Interconnection Security Agreements and be subject to additional security controls.;AC-3,AC-4,AC-20,AU-2,AU-12,AU-16,CA-7,IA-3,SA-9,SC-7,SI-4
SECURITY ASSESSMENT AND AUTHORIZATION;CA-3 (1);UNCLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS;P1;LOW,MODERATE,HIGH;The organization prohibits the direct connection of an [Assignment: organization-defined unclassified, national security system] to an external network without the use of [Assignment: organization-defined boundary protection device].;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-3 (2);CLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS;P1;LOW,MODERATE,HIGH;The organization prohibits the direct connection of a classified, national security system to an external network without the use of [Assignment: organization-defined boundary protection device].;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-3 (3);UNCLASSIFIED NON-NATIONAL SECURITY SYSTEM CONNECTIONS;P1;LOW,MODERATE,HIGH;The organization prohibits the direct connection of an [Assignment: organization-defined unclassified, non-national security system] to an external network without the use of [Assignment, organization-defined boundary protection device].;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-3 (4);CONNECTIONS TO PUBLIC NETWORKS;P1;LOW,MODERATE,HIGH;The organization prohibits the direct connection of an [Assignment: organization-defined information system] to a public network.;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-3 (5);RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS;P1;MODERATE,HIGH;The organization employs [Selection: allow-all, deny-by-exception, deny-all, permit-by-exception] policy for allowing [Assignment: organization-defined information systems] to connect to external information systems.;Organizations can constrain information system connectivity to external domains (e.g., websites) by employing one of two policies with regard to such connectivity: (i) allow-all, deny by exception, also known as blacklisting (the weaker of the two policies), or (ii) deny-all, allow by exception, also known as whitelisting (the stronger of the two policies). For either policy, organizations determine what exceptions, if any, are acceptable.;CM-7
SECURITY ASSESSMENT AND AUTHORIZATION;CA-4;SECURITY CERTIFICATION;P1;MODERATE,HIGH;[Withdrawn: Incorporated into CA-2].;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-5;PLAN OF ACTION AND MILESTONES;P3;LOW,MODERATE,HIGH;The organization: Develops a plan of action and milestones for the information system to document the organizationï¿½s planned remedial actions to correct weaknesses or deficiencies noted during the assessment of the security controls and to reduce or eliminate known vulnerabilities in the system, and Updates existing plan of action and milestones [Assignment: organization-defined frequency] based on the findings from security controls assessments, security impact analyses, and continuous monitoring activities.;Plans of action and milestones are key documents in security authorization packages and are subject to federal reporting requirements established by OMB.;CA-2,CA-7,CM-4,PM-4
SECURITY ASSESSMENT AND AUTHORIZATION;CA-5 (1);AUTOMATION SUPPORT FOR ACCURACY / CURRENCY;P3;LOW,MODERATE,HIGH;The organization employs automated mechanisms to help ensure that the plan of action and milestones for the information system is accurate, up to date, and readily available.;NaN;NaN
SECURITY ASSESSMENT AND AUTHORIZATION;CA-6;SECURITY AUTHORIZATION;P2;LOW,MODERATE,HIGH;The organization: Assigns a senior-level executive or manager as the authorizing official for the information system, Ensures that the authorizing official authorizes the information system for processing before commencing operations, and Updates the security authorization [Assignment: organization-defined frequency].;Security authorizations are official management decisions, conveyed through authorization decision documents, by senior organizational officials or executives (i.e., authorizing officials) to authorize operation of information systems and to explicitly accept the risk to organizational operations and assets, individuals, other organizations, and the Nation based on the implementation of agreed-upon security controls. Authorizing officials provide budgetary oversight for organizational information systems or assume responsibility for the mission/business operations supported by those systems. The security authorization process is an inherently federal responsibility and therefore, authorizing officials must be federal employees. Through the security authorization process, authorizing officials assume responsibility and are accountable for security risks associated with the operation and use of organizational information systems. Accordingly, authorizing officials are in positions with levels of authority commensurate with understanding and accepting such information security-related risks. OMB policy requires that organizations conduct ongoing authorizations of information systems by implementing continuous monitoring programs. Continuous monitoring programs can satisfy three-year reauthorization requirements, so separate reauthorization processes are not necessary. Through the employment of comprehensive continuous monitoring processes, critical information contained in authorization packages (i.e., security plans, security assessment reports, and plans of action and milestones) is updated on an ongoing basis, providing authorizing officials and information system owners with an up-to-date status of the security state of organizational information systems and environments of operation.  To reduce the administrative cost of security reauthorization, authorizing officials use the results of continuous monitoring processes to the maximum extent possible as the basis for rendering reauthorization decisions.;CA-2,CA-7,PM-9,PM-10
